epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.481,1.48502,2.16119,1.24389,0.6755,0.37828,0.388,0.24585,1.26656,1.25539,1.15633,0.00332667,0.00332667,0.00332667
2,361.172,1.3806,1.40717,1.17606,0.40237,0.53278,0.44682,0.28059,1.23002,1.20128,1.13549,0.00661604,0.00661604,0.00661604
3,536.041,1.36992,1.32663,1.1695,0.59251,0.51171,0.47324,0.29326,1.25449,1.10816,1.12628,0.00986142,0.00986142,0.00986142
4,706.445,1.36464,1.28186,1.16614,0.48562,0.53205,0.49619,0.30717,1.24061,1.11556,1.13626,0.009802,0.009802,0.009802
5,878.916,1.32996,1.20528,1.14851,0.52303,0.56677,0.52517,0.32161,1.26127,1.05488,1.14039,0.009736,0.009736,0.009736
6,1051.73,1.30251,1.15351,1.1392,0.52683,0.55593,0.49796,0.31621,1.20193,1.05163,1.11689,0.00967,0.00967,0.00967
7,1221.81,1.27947,1.12123,1.12781,0.51917,0.54813,0.54918,0.35401,1.19781,0.98825,1.09965,0.009604,0.009604,0.009604
8,1394.77,1.26205,1.08377,1.11832,0.63309,0.56764,0.54417,0.34326,1.15131,1.00595,1.0968,0.009538,0.009538,0.009538
9,1565.6,1.24757,1.06305,1.11312,0.50721,0.62814,0.55802,0.36415,1.1454,0.9323,1.09117,0.009472,0.009472,0.009472
10,1735.91,1.23605,1.04071,1.10618,0.5145,0.60119,0.55383,0.35395,1.15477,0.95529,1.08466,0.009406,0.009406,0.009406
11,1906.68,1.22733,1.02554,1.1004,0.48332,0.64907,0.5704,0.37369,1.12473,0.93834,1.07752,0.00934,0.00934,0.00934
12,2080.72,1.20681,1.01456,1.10092,0.45891,0.64004,0.54536,0.35124,1.15453,0.93257,1.09321,0.009274,0.009274,0.009274
13,2252.67,1.20476,0.99681,1.09382,0.52916,0.61386,0.57905,0.3819,1.10387,0.9196,1.06925,0.009208,0.009208,0.009208
14,2426.65,1.19355,0.98611,1.0908,0.51958,0.61107,0.57161,0.37721,1.1043,0.89928,1.06868,0.009142,0.009142,0.009142
15,2598.17,1.18591,0.96286,1.08242,0.49057,0.66198,0.58245,0.38048,1.10571,0.89596,1.06812,0.009076,0.009076,0.009076
16,2774.87,1.18199,0.96733,1.08286,0.47448,0.67358,0.57826,0.38258,1.10034,0.89994,1.06704,0.00901,0.00901,0.00901
17,2950.53,1.17157,0.96566,1.08246,0.53192,0.64773,0.59309,0.39299,1.09463,0.8823,1.05763,0.008944,0.008944,0.008944
18,3123.52,1.16109,0.95543,1.07622,0.53052,0.64705,0.59649,0.38969,1.09217,0.8899,1.06406,0.008878,0.008878,0.008878
19,3293.62,1.1541,0.94261,1.07781,0.5277,0.64175,0.58609,0.38619,1.08973,0.89296,1.05946,0.008812,0.008812,0.008812
20,3468.19,1.15109,0.92775,1.07114,0.53134,0.66511,0.60693,0.3978,1.07941,0.87058,1.05665,0.008746,0.008746,0.008746
21,3639.44,1.14824,0.93011,1.07276,0.54496,0.64737,0.60092,0.39437,1.07497,0.88356,1.05243,0.00868,0.00868,0.00868
22,3809.53,1.1455,0.92556,1.06974,0.52526,0.66779,0.6019,0.39523,1.07168,0.86864,1.05566,0.008614,0.008614,0.008614
23,3977.07,1.13862,0.91618,1.06575,0.53121,0.66294,0.61099,0.40274,1.06831,0.8712,1.04926,0.008548,0.008548,0.008548
24,4145.62,1.13636,0.91171,1.06338,0.51555,0.66479,0.6064,0.40053,1.07102,0.86718,1.05029,0.008482,0.008482,0.008482
25,4315.43,1.12734,0.9082,1.06292,0.54569,0.6307,0.58485,0.39073,1.06474,0.86473,1.05358,0.008416,0.008416,0.008416
26,4484.79,1.12428,0.89993,1.06201,0.54612,0.64284,0.61133,0.40704,1.07957,0.85634,1.05111,0.00835,0.00835,0.00835
27,4652.41,1.12081,0.8941,1.05647,0.5296,0.6546,0.60044,0.40569,1.05701,0.86271,1.04581,0.008284,0.008284,0.008284
28,4820.43,1.12192,0.89073,1.0585,0.54079,0.65306,0.5967,0.40204,1.05654,0.86699,1.04812,0.008218,0.008218,0.008218
29,4993.05,1.11586,0.88509,1.05874,0.53465,0.64196,0.59372,0.4034,1.0544,0.8565,1.04763,0.008152,0.008152,0.008152
30,5161.68,1.11563,0.87775,1.05382,0.52933,0.63456,0.59076,0.40226,1.04803,0.86322,1.03911,0.008086,0.008086,0.008086
31,5331.87,1.11369,0.87678,1.05698,0.54978,0.59768,0.58635,0.39602,1.05832,0.89913,1.04654,0.00802,0.00802,0.00802
32,5503.04,1.11264,0.87109,1.05296,0.53477,0.64694,0.60406,0.4024,1.05683,0.86026,1.04467,0.007954,0.007954,0.007954
33,5674.31,1.10529,0.86359,1.05108,0.5399,0.62145,0.58039,0.39421,1.04835,0.87475,1.04058,0.007888,0.007888,0.007888
34,5843.59,1.10964,0.86226,1.0504,0.53353,0.651,0.58868,0.39783,1.0465,0.86678,1.04055,0.007822,0.007822,0.007822
35,6014.46,1.09842,0.85205,1.04571,0.55585,0.62284,0.59125,0.40348,1.04542,0.88143,1.03635,0.007756,0.007756,0.007756
36,6181.65,1.10056,0.84929,1.04766,0.55038,0.63285,0.58429,0.39873,1.04387,0.87172,1.03613,0.00769,0.00769,0.00769
37,6348.52,1.09269,0.84805,1.04582,0.5531,0.63289,0.59187,0.40152,1.04441,0.86654,1.03731,0.007624,0.007624,0.007624
38,158.059,1.09173,0.8415,1.04256,0.57066,0.61127,0.58568,0.39614,1.03645,0.86621,1.03693,0.007558,0.007558,0.007558
39,313.808,1.09234,0.84293,1.04393,0.57958,0.59976,0.58618,0.39907,1.03807,0.87968,1.03692,0.007492,0.007492,0.007492
40,467.962,1.08009,0.83193,1.04219,0.57616,0.61063,0.59149,0.39749,1.03798,0.88631,1.0328,0.007426,0.007426,0.007426
41,621.717,1.08245,0.82839,1.04006,0.56484,0.61578,0.58966,0.40174,1.04087,0.87455,1.03054,0.00736,0.00736,0.00736
42,775.921,1.08268,0.82208,1.03765,0.56037,0.63649,0.60109,0.40165,1.03826,0.87918,1.0339,0.007294,0.007294,0.007294
43,930.569,1.08114,0.82262,1.03897,0.55866,0.61335,0.58859,0.40414,1.03559,0.85997,1.0334,0.007228,0.007228,0.007228
44,1082.58,1.07613,0.82363,1.03689,0.54972,0.63548,0.59533,0.40389,1.03681,0.85194,1.03174,0.007162,0.007162,0.007162
45,1237.08,1.07438,0.81377,1.03504,0.5531,0.6257,0.60423,0.41319,1.03188,0.86502,1.03179,0.007096,0.007096,0.007096
46,1394.4,1.07231,0.81411,1.03458,0.56461,0.60239,0.5829,0.39545,1.03245,0.8927,1.03235,0.00703,0.00703,0.00703
47,1551.18,1.07347,0.80704,1.03349,0.54583,0.62952,0.57834,0.39748,1.03226,0.87538,1.03188,0.006964,0.006964,0.006964
48,1707.89,1.07123,0.80521,1.03254,0.5475,0.60818,0.58163,0.39768,1.02899,0.87219,1.03092,0.006898,0.006898,0.006898
49,1864.62,1.05908,0.7998,1.03367,0.53426,0.62646,0.56716,0.39073,1.03196,0.88766,1.02819,0.006832,0.006832,0.006832
50,2020.97,1.06701,0.799,1.03189,0.5358,0.63437,0.58639,0.40369,1.03117,0.87265,1.02901,0.006766,0.006766,0.006766
51,2176.21,1.06104,0.7943,1.03092,0.55852,0.60978,0.58476,0.39949,1.03016,0.88045,1.03012,0.0067,0.0067,0.0067
52,2331.85,1.05843,0.78057,1.02567,0.54337,0.61605,0.57931,0.39803,1.02749,0.89371,1.02861,0.006634,0.006634,0.006634
53,2487.25,1.06004,0.78522,1.0283,0.5343,0.62863,0.57795,0.39574,1.03444,0.88966,1.03236,0.006568,0.006568,0.006568
54,2642.96,1.056,0.78426,1.03042,0.5681,0.59749,0.56971,0.3877,1.03339,0.90595,1.02956,0.006502,0.006502,0.006502
