epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.822,1.03214,0.77485,1.01534,0.55982,0.60224,0.56023,0.37715,1.06002,0.97893,1.02928,0.000277259,0.000277259,0.000277259
2,460.322,1.07097,0.81771,1.02592,0.51628,0.61176,0.56064,0.37001,1.07511,0.94932,1.03135,0.000543938,0.000543938,0.000543938
3,673.746,1.1049,0.87955,1.04216,0.51582,0.6284,0.56037,0.37239,1.08467,0.92725,1.0404,0.000799622,0.000799622,0.000799622
4,888.676,1.1132,0.88242,1.04457,0.51582,0.60519,0.55483,0.3628,1.0849,0.9255,1.04082,0.00078352,0.00078352,0.00078352
5,1109.22,1.10558,0.88233,1.04384,0.53653,0.60322,0.5712,0.38149,1.07442,0.92708,1.03826,0.000767026,0.000767026,0.000767026
6,1326.39,1.10711,0.88077,1.04181,0.54888,0.60431,0.5815,0.3873,1.07565,0.92288,1.02834,0.000750533,0.000750533,0.000750533
7,1539.16,1.10144,0.86531,1.03921,0.5247,0.65207,0.58493,0.38964,1.06266,0.88333,1.03078,0.00073404,0.00073404,0.00073404
8,1752.01,1.09577,0.86412,1.03781,0.57314,0.61285,0.58557,0.38956,1.06228,0.89926,1.03458,0.000717546,0.000717546,0.000717546
9,1965.1,1.08694,0.85465,1.03357,0.56309,0.6191,0.58985,0.39066,1.06236,0.90891,1.02789,0.000701053,0.000701053,0.000701053
10,2180.91,1.08347,0.8509,1.03329,0.54855,0.60968,0.56639,0.37953,1.06713,0.94405,1.02813,0.000684559,0.000684559,0.000684559
11,2392.4,1.08656,0.84383,1.03146,0.54346,0.61409,0.58212,0.39015,1.06023,0.90878,1.02862,0.000668066,0.000668066,0.000668066
12,2604.34,1.08076,0.84106,1.03118,0.53173,0.6106,0.56204,0.37542,1.06334,0.94431,1.02947,0.000651573,0.000651573,0.000651573
13,2817.33,1.07301,0.83187,1.0294,0.53594,0.61745,0.5677,0.37845,1.06076,0.92509,1.02847,0.000635079,0.000635079,0.000635079
14,3030.5,1.06945,0.82421,1.02724,0.55646,0.6064,0.57136,0.38229,1.0629,0.92972,1.02752,0.000618586,0.000618586,0.000618586
15,3243.88,1.0585,0.81462,1.02388,0.51642,0.6317,0.55789,0.37623,1.04988,0.9202,1.02316,0.000602092,0.000602092,0.000602092
16,3455.12,1.06461,0.81204,1.02393,0.54552,0.61373,0.56504,0.38142,1.04628,0.93437,1.01999,0.000585599,0.000585599,0.000585599
17,3666.03,1.05426,0.80392,1.02163,0.5314,0.61468,0.5677,0.38247,1.04908,0.92779,1.0225,0.000569106,0.000569106,0.000569106
18,3877.1,1.05256,0.80072,1.01981,0.54518,0.6211,0.56928,0.38067,1.04147,0.90365,1.02244,0.000552612,0.000552612,0.000552612
19,194.988,1.04039,0.77136,1.01309,0.58764,0.58614,0.58182,0.39653,1.04467,0.93125,1.02584,0.000536119,0.000536119,0.000536119
20,382.931,1.03467,0.7623,1.01015,0.53237,0.60745,0.55987,0.3873,1.04486,0.94802,1.02344,0.000519625,0.000519625,0.000519625
21,566.577,1.02316,0.74537,1.00852,0.53039,0.60569,0.55575,0.38097,1.04123,0.94153,1.02184,0.000503132,0.000503132,0.000503132
22,751.656,1.0187,0.73991,1.00525,0.55977,0.60327,0.57777,0.40064,1.04267,0.92478,1.0244,0.000486639,0.000486639,0.000486639
23,940.979,1.01669,0.73219,1.00182,0.55803,0.60506,0.57327,0.39874,1.03976,0.94336,1.0216,0.000470145,0.000470145,0.000470145
24,1128.32,1.01451,0.73022,1.00211,0.52825,0.62722,0.5675,0.3923,1.03415,0.92417,1.02069,0.000453652,0.000453652,0.000453652
25,1310.63,1.00906,0.72665,1.00092,0.55341,0.61674,0.57288,0.39615,1.03691,0.94627,1.02012,0.000437158,0.000437158,0.000437158
26,1492.3,1.00405,0.71898,0.99752,0.58845,0.58641,0.58203,0.40338,1.03624,0.93835,1.02122,0.000420665,0.000420665,0.000420665
27,1676.75,1.00052,0.71503,0.99724,0.58614,0.579,0.56708,0.38635,1.0381,0.95473,1.02212,0.000404172,0.000404172,0.000404172
28,1867.37,1.00021,0.70726,0.9964,0.53401,0.6133,0.5602,0.38555,1.03802,0.98114,1.02572,0.000387678,0.000387678,0.000387678
29,2053.05,0.99621,0.70827,0.99355,0.55579,0.60048,0.57201,0.39226,1.03563,0.94612,1.02647,0.000371185,0.000371185,0.000371185
30,2236.82,0.98204,0.70022,0.99448,0.56772,0.62681,0.58654,0.40464,1.03453,0.93074,1.02474,0.000354691,0.000354691,0.000354691
31,7543.5,0.98023,0.69029,0.99155,0.54569,0.63448,0.57637,0.39843,1.03333,0.94117,1.02221,0.000338198,0.000338198,0.000338198
32,15554.3,0.97561,0.68572,0.99048,0.54456,0.63631,0.57259,0.39746,1.02754,0.93749,1.01975,0.000321705,0.000321705,0.000321705
