epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.251,1.46893,2.09095,1.24878,0.64287,0.38038,0.38771,0.23658,1.27942,1.27881,1.14521,0.00332844,0.00332844,0.00332844
2,465.86,1.36502,1.38357,1.17727,0.59606,0.47126,0.44295,0.27343,1.24988,1.17348,1.14033,0.00663979,0.00663979,0.00663979
3,687.858,1.36855,1.32918,1.17826,0.49242,0.49784,0.45636,0.27731,1.26224,1.18659,1.14356,0.00992914,0.00992914,0.00992914
4,907.324,1.35643,1.26804,1.16597,0.50224,0.53357,0.4911,0.30658,1.2343,1.10609,1.14143,0.009901,0.009901,0.009901
5,1122.18,1.31461,1.19792,1.14915,0.49148,0.55334,0.50865,0.32426,1.19666,1.05228,1.10706,0.009868,0.009868,0.009868
6,1334.68,1.28661,1.14716,1.13266,0.4952,0.5869,0.54608,0.34398,1.1693,1.00555,1.09956,0.009835,0.009835,0.009835
7,1547.02,1.2645,1.0974,1.12,0.55575,0.57886,0.567,0.36243,1.15384,0.97135,1.08863,0.009802,0.009802,0.009802
8,1763.16,1.24527,1.07492,1.11219,0.50975,0.61847,0.56657,0.36554,1.13544,0.95314,1.07994,0.009769,0.009769,0.009769
9,1978.45,1.22703,1.04784,1.10258,0.54605,0.56119,0.56286,0.36033,1.13076,0.95414,1.07357,0.009736,0.009736,0.009736
10,2189.82,1.21295,1.0368,1.09932,0.51469,0.62897,0.57495,0.37613,1.12255,0.93453,1.07063,0.009703,0.009703,0.009703
11,2402.58,1.21183,1.02112,1.09399,0.54907,0.63139,0.58756,0.38265,1.10968,0.9151,1.06231,0.00967,0.00967,0.00967
12,2615.7,1.19926,1.01503,1.09185,0.55765,0.60915,0.59249,0.38231,1.11749,0.90477,1.06079,0.009637,0.009637,0.009637
13,2830.37,1.18739,0.99653,1.08624,0.57335,0.60878,0.59127,0.38443,1.10009,0.89425,1.05754,0.009604,0.009604,0.009604
14,3043.89,1.17986,0.98804,1.08292,0.53158,0.64524,0.59416,0.38282,1.09498,0.90388,1.05365,0.009571,0.009571,0.009571
15,3257.47,1.16646,0.97729,1.07845,0.50987,0.6578,0.59309,0.38883,1.07718,0.88483,1.04956,0.009538,0.009538,0.009538
16,3473.02,1.16873,0.97135,1.07595,0.5228,0.65344,0.59342,0.38908,1.08035,0.8885,1.04909,0.009505,0.009505,0.009505
17,3686.65,1.15726,0.96513,1.07424,0.66485,0.58344,0.59713,0.39351,1.07516,0.8739,1.04449,0.009472,0.009472,0.009472
18,3892.27,1.15519,0.95975,1.07186,0.55317,0.63922,0.59661,0.39427,1.07432,0.87136,1.0504,0.009439,0.009439,0.009439
19,4099.95,1.15196,0.95402,1.069,0.55375,0.64086,0.59652,0.39691,1.06718,0.85985,1.03946,0.009406,0.009406,0.009406
20,4309.39,1.14432,0.94992,1.0667,0.54516,0.64687,0.59677,0.39868,1.06397,0.86934,1.04197,0.009373,0.009373,0.009373
21,4515.84,1.1411,0.93789,1.0637,0.54612,0.6627,0.61122,0.40309,1.06154,0.85603,1.03853,0.00934,0.00934,0.00934
22,4723.19,1.1357,0.93766,1.06428,0.55718,0.65976,0.60756,0.40465,1.05544,0.85749,1.03634,0.009307,0.009307,0.009307
23,4931.33,1.1313,0.93133,1.06138,0.5445,0.66286,0.59868,0.39822,1.05243,0.86514,1.03805,0.009274,0.009274,0.009274
24,5140.45,1.12632,0.92714,1.05928,0.53752,0.67563,0.60445,0.40265,1.04434,0.84479,1.03111,0.009241,0.009241,0.009241
25,5349.37,1.12883,0.92447,1.05861,0.5419,0.64214,0.6071,0.40484,1.05273,0.85004,1.03098,0.009208,0.009208,0.009208
26,5559.1,1.12062,0.91959,1.05969,0.54738,0.64487,0.6024,0.40493,1.03782,0.84775,1.03141,0.009175,0.009175,0.009175
27,5768.9,1.11756,0.90452,1.05391,0.53169,0.66672,0.60159,0.40323,1.04267,0.85957,1.0345,0.009142,0.009142,0.009142
28,5979.06,1.11335,0.90781,1.05371,0.56086,0.64966,0.60856,0.40823,1.03938,0.85121,1.02643,0.009109,0.009109,0.009109
29,6187.93,1.11059,0.90065,1.05223,0.55116,0.6397,0.60642,0.40857,1.03675,0.84152,1.03083,0.009076,0.009076,0.009076
30,6397.06,1.11204,0.89873,1.04973,0.51701,0.67203,0.60446,0.40951,1.03337,0.84507,1.03012,0.009043,0.009043,0.009043
31,6607.18,1.10805,0.90169,1.05133,0.53948,0.6604,0.60243,0.40809,1.03193,0.85081,1.02739,0.00901,0.00901,0.00901
32,6813.68,1.10081,0.89018,1.048,0.53947,0.67248,0.61044,0.41035,1.02728,0.8405,1.02332,0.008977,0.008977,0.008977
33,7021.49,1.10666,0.89,1.04816,0.52352,0.6583,0.60645,0.412,1.02516,0.84487,1.02522,0.008944,0.008944,0.008944
34,7230.66,1.10233,0.88425,1.04615,0.55003,0.64666,0.60814,0.41172,1.0274,0.84501,1.02623,0.008911,0.008911,0.008911
35,7438.33,1.09917,0.88504,1.04709,0.55463,0.66306,0.60469,0.41266,1.02199,0.84486,1.02341,0.008878,0.008878,0.008878
36,7649.03,1.09401,0.8801,1.04588,0.55002,0.65248,0.59967,0.40938,1.01971,0.85381,1.02148,0.008845,0.008845,0.008845
37,7864.35,1.09298,0.87288,1.04193,0.52205,0.68344,0.60302,0.41238,1.01831,0.85071,1.02234,0.008812,0.008812,0.008812
38,218.991,1.08826,0.86538,1.04394,0.50827,0.6696,0.59016,0.40391,1.01183,0.85771,1.01843,0.008779,0.008779,0.008779
39,437.503,1.09701,0.86643,1.0428,0.52504,0.6658,0.59211,0.40443,1.01526,0.85694,1.0182,0.008746,0.008746,0.008746
40,651.503,1.09055,0.86616,1.04281,0.52975,0.66363,0.59555,0.40567,1.01182,0.85616,1.01834,0.008713,0.008713,0.008713
41,863.515,1.09059,0.85798,1.04218,0.51325,0.68817,0.59183,0.40714,1.01062,0.84359,1.01614,0.00868,0.00868,0.00868
42,1079.54,1.08416,0.85801,1.04037,0.53906,0.65558,0.59029,0.40511,1.01051,0.86455,1.01623,0.008647,0.008647,0.008647
43,1291.42,1.08715,0.86118,1.04026,0.53283,0.65979,0.59147,0.40625,1.00767,0.85802,1.01566,0.008614,0.008614,0.008614
44,1505.19,1.08594,0.84906,1.03939,0.51587,0.66762,0.58833,0.40459,1.00918,0.86576,1.01623,0.008581,0.008581,0.008581
45,1720.13,1.08212,0.84593,1.0381,0.53454,0.67049,0.59234,0.40572,1.00658,0.86039,1.01414,0.008548,0.008548,0.008548
46,1930.45,1.07552,0.84158,1.03643,0.52963,0.65733,0.59165,0.40591,1.00977,0.86079,1.01415,0.008515,0.008515,0.008515
47,2143.52,1.07437,0.84401,1.03572,0.54048,0.64956,0.58707,0.404,1.00747,0.86733,1.0129,0.008482,0.008482,0.008482
48,2355.27,1.08258,0.83993,1.03703,0.54348,0.65516,0.59874,0.41184,1.00888,0.8558,1.0155,0.008449,0.008449,0.008449
49,216.086,1.06238,0.81634,1.03363,0.52938,0.65677,0.57564,0.39627,1.00547,0.89022,1.01321,0.008416,0.008416,0.008416
50,436.794,1.07162,0.81778,1.03289,0.5425,0.63009,0.57801,0.3956,1.00776,0.89108,1.01547,0.008383,0.008383,0.008383
51,653.994,1.0669,0.82058,1.03285,0.56852,0.61938,0.57975,0.39709,1.00652,0.88052,1.01439,0.00835,0.00835,0.00835
52,873.509,1.06919,0.81494,1.03288,0.53572,0.65293,0.57734,0.39708,1.00784,0.8803,1.01396,0.008317,0.008317,0.008317
53,1096.53,1.06285,0.81416,1.03149,0.54339,0.63374,0.56973,0.39277,1.00808,0.90434,1.01471,0.008284,0.008284,0.008284
54,1315.11,1.06572,0.81651,1.03109,0.53535,0.65343,0.57618,0.39647,1.00628,0.89343,1.01417,0.008251,0.008251,0.008251
55,1534.82,1.06498,0.808,1.0315,0.53179,0.65245,0.57763,0.39869,1.00521,0.89409,1.01344,0.008218,0.008218,0.008218
56,1755.85,1.06187,0.80539,1.03053,0.53401,0.64636,0.57745,0.39974,1.00636,0.90053,1.01442,0.008185,0.008185,0.008185
57,1973.57,1.05694,0.79978,1.02804,0.53376,0.65543,0.57593,0.3968,1.00585,0.90255,1.01364,0.008152,0.008152,0.008152
58,2190.62,1.05485,0.80115,1.02803,0.5359,0.64359,0.57298,0.39593,1.00456,0.90713,1.0125,0.008119,0.008119,0.008119
59,2409.7,1.06557,0.80674,1.03002,0.54762,0.63224,0.57636,0.39875,1.00427,0.89996,1.01297,0.008086,0.008086,0.008086
60,2632.14,1.06656,0.81426,1.03179,0.55399,0.63112,0.5793,0.40068,1.001,0.88723,1.01193,0.008053,0.008053,0.008053
61,2850.77,1.06161,0.81321,1.0309,0.55631,0.63211,0.5807,0.40206,0.99943,0.88516,1.01214,0.00802,0.00802,0.00802
62,3068.99,1.06111,0.80811,1.03045,0.55591,0.63891,0.57971,0.40055,0.998,0.88531,1.01156,0.007987,0.007987,0.007987
63,3289.91,1.05521,0.80144,1.02932,0.5635,0.6313,0.57921,0.4003,0.99967,0.88642,1.01295,0.007954,0.007954,0.007954
64,3509.29,1.05994,0.80115,1.02864,0.55369,0.63008,0.57651,0.39896,0.9982,0.88766,1.01239,0.007921,0.007921,0.007921
